message_id,type,type_id,org,comment,ticket_id,coords,photo,after_photo,address,district,subdistrict,province,timestamp,problem_type_abdul,status,star,count_reopen,state
292562,ทางเท้า,6,กรุงเทพมหานคร,ฟุตบาทแตกเป็นหลุม,2022-MPNV4C,"['100.61019', '13.68130']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/9771ffa0e39f7a5feed3f288d98d757569b66509.jpg,,3225 ถ. สุขุมวิท แขวง บางนา เขตบางนา กรุงเทพมหานคร 10260 ประเทศไทย,บางนา,บางนาเหนือ,กรุงเทพมหานคร,2022-12-12 10:37:30.924196+00:00,{ทางเท้า},report,,0,รอรับเรื่อง
292561,,12,กรุงเทพมหานคร,เด็กเช็ดกระจกไม่ให้ตังมันด่าเอาด้วย,2022-L3WBAX,"['100.55931', '13.72024']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/a7214882a0aa8ea5d2a01059ba4b49251f9f6c1e.jpg,,96 95 ถ. สุนทรโกษา แขวง คลองเตย เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย,คลองเตย,คลองเตย,กรุงเทพมหานคร,2022-12-12 10:35:01.410448+00:00,{},report,,0,รอรับเรื่อง
292560,,6,กรุงเทพมหานคร,สะพานข้ามคลองหลังตลาดแย้มเจริญรัตน์ พื้นทางลงแตกร้าว นบกวนซ่อมแซมค่ะ,2022-C3NR9L,"['100.80035', '13.75550']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/824e0d1d2802d238a7b2929e75ce10ed06e34a39.jpg,,3/1 ถนน ฉลองกรุง แขวง ลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,ลาดกระบัง,ลำปลาทิว,กรุงเทพมหานคร,2022-12-12 10:33:37.655019+00:00,{},report,,0,รอรับเรื่อง
292559,"ต้นไม้,ห้องน้ำ",28,กรุงเทพมหานคร,ห้องน้ำในสวนหลวง​ร.9​ น่าจะแตกเหม็นมาก​ ต้นไม้เหี่ยวไม่สมกับเก็บค่าเข้าชมเลย,2022-A6TF69,"['100.66119', '13.68749']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/30c2e4f4fbfeadeec8229f6e4e57c2a823f0e0ad.jpg,,MMP6+XF กรุงเทพมหานคร ประเทศไทย,ประเวศ,หนองบอน,กรุงเทพมหานคร,2022-12-12 10:32:52.165067+00:00,"{ต้นไม้,ห้องน้ำ}",report,,0,รอรับเรื่อง
292557,ความปลอดภัย,12,กรุงเทพมหานคร,ยังมีการอนุญาตให้มอเตอร์ไซค์วิ่งอยู่ใช่มั้ยคะ ถ้าเกิดวิ่งเร็วและคนและสัตว์เลี้ยง และทรัพย์สินได้รับอุบัติเหตุหรือความเสียหาย จะมีมาตรการรับผิดชอบอย่างไรคะ,2022-MAMPBE,"['100.55660', '13.73383']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/03b70aca680dc321f59c74abe5880a8f35705a25.jpg,,184 สุขุมวิท แขวง คลองเตย เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย,คลองเตย,คลองเตย,กรุงเทพมหานคร,2022-12-12 10:27:23.253628+00:00,{ความปลอดภัย},report,,0,รอรับเรื่อง
292555,สัตว์จรจัด,12,กรุงเทพมหานคร,"บริเวณนี้มีแมวจรจัดเยอะมาก ประมาณ 10 ตัว เเละมีการคลอดลูกตลอดเวลา
ฉี่เเละอึ ในบริเวณบ้านส่งกลิ่นเหม็น เเละทำให้มีเเมลงวันเยอะมาก แบบที่อยู่บ้านแทบไม่ได้",2022-EEMZG2,"['100.48074', '13.78423']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/3a13ead159c0f17f30e498d72f21d9913dbae1ea.jpg,,1554 ซอย จรัญสนิทวงศ์ 57 แขวง บางบำหรุ เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,บางพลัด,บางบำหรุ,กรุงเทพมหานคร,2022-12-12 10:23:51.384804+00:00,{สัตว์จรจัด},report,,0,รอรับเรื่อง
292553,ถนน,9,กรุงเทพมหานคร,รบกวนมาดูแลบริเวณแยกในซอยตรงนี้นิดนึงได้ไหมคะ ร้านค้ามีการเอาผลไม้บ้าง ปลาบ้าง มาล้างริมถนน วางริมถนนเกะกะ รถจอดซ้ายขวา เข้าออกค่อนข้างยาก รถจอดบริเวณแยกมุมอีก สามารถจัดการระเบียบตรงนี้ได้บ้างไหม,2022-PCM4WA,"['100.65025', '13.78603']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/62cab09c77cc77acd3d873bf293ba3738d8ff730.jpg,,44 ซอย นวมินทร์ 24 แขวง คลองกุ่ม เขต บึงกุ่ม กรุงเทพมหานคร 10240 ประเทศไทย,บึงกุ่ม,คลองกุ่ม,กรุงเทพมหานคร,2022-12-12 10:19:17.058672+00:00,{ถนน},report,,0,รอรับเรื่อง
292552,กีดขวาง,6,กรุงเทพมหานคร,ค้าขายกีดขวางทางเท้า,2022-L9RDF2,"['100.56406', '13.73427']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/f0c2c56c8e2ce1914fbafa2072d1b02e136df7a3.jpg,,11 ซ. สุขุมวิท 20 คลองเตย เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย,คลองเตย,คลองเตย,กรุงเทพมหานคร,2022-12-12 10:19:11.193091+00:00,{กีดขวาง},report,,0,รอรับเรื่อง
292550,,12,กรุงเทพมหานคร,รั้วมันไม่มีครับ,2022-LX6YZ7,"['100.48144', '13.78817']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/869d203ebb3c9091d0be03a55d54ca7526482b0e.jpg,,24 สิรินธร แขวง บางบำหรุ เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,บางพลัด,บางบำหรุ,กรุงเทพมหานคร,2022-12-12 10:15:01.114881+00:00,{},report,,0,รอรับเรื่อง
292549,แสงสว่าง,33,กรุงเทพมหานคร,รื้อบ้านไฟไหม้,2022-EQ9NLQ,"['100.49565', '13.72287']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/044fbb7fe8d81946f3021e72ded3f4f7e3da72ad.jpg,,229 ซอย ชุมชนสองร้อยห้อง แขวง คลองต้นไทร เขตคลองสาน กรุงเทพมหานคร 10600 ประเทศไทย,คลองสาน,คลองต้นไทร,กรุงเทพมหานคร,2022-12-12 10:13:57.234225+00:00,{แสงสว่าง},inprogress,,0,กำลังดำเนินการ
